city,city_ascii,lat,lng,country,region,capital,population,id
Deer Lake,Deer Lake,49.1744,-57.4269,Canada,Newfoundland and Labrador,1124841556
Deer Lake,Deer Lake,52.617,-94.0666,Canada,Ontario,1124585613
Vegreville,Vegreville,53.5,-112.05,Canada,Alberta,1124534321
Bella Bella,Bella Bella,52.1484,-128.1173,Canada,British Columbia,1124480592
Rankin Inlet,Rankin Inlet,62.8167,-92.0953,Canada,Nunavut,1124057160
Owen Sound,Owen Sound,44.5666,-80.85,Canada,Ontario,1124623613
Lac La Biche,Lac La Biche,54.7719,-111.9647,Canada,Alberta,1124501918
Hopedale,Hopedale,55.45,-60.2167,Canada,Newfoundland and Labrador,1124338710
Norway House,Norway House,53.9666,-97.8333,Canada,Manitoba,1124567295
Coral Harbour,Coral Harbour,64.1538,-83.1766,Canada,Nunavut,1124748087
Kugluktuk,Kugluktuk,67.7987,-115.1254,Canada,Nunavut,1124349489
Norman Wells,Norman Wells,65.2837,-126.85,Canada,Northwest Territories,1124868628
Fort Resolution,Fort Resolution,61.1666,-113.683,Canada,Northwest Territories,1124395645
Fort McPherson,Fort McPherson,67.4915,-134.895,Canada,Northwest Territories,1124984904
Forteau,Forteau,51.4504,-56.95,Canada,Newfoundland and Labrador,1124235945
Kuujjuaq,Kuujjuaq,58.1,-68.4,Canada,Québec,1124705411
Cape Dorset,Cape Dorset,64.3125,-76.5386,Canada,Nunavut,1124646146
Cartwright,Cartwright,53.7014,-57.0121,Canada,Newfoundland and Labrador,1124810278
Flin Flon,Flin Flon,54.7666,-101.8833,Canada,Manitoba,1124500458
Holman,Holman,70.7334,-117.75,Canada,Northwest Territories,1124762461
Pembroke,Pembroke,45.8503,-77.1166,Canada,Ontario,1124877940
Baker Lake,Baker Lake,64.317,-96.0167,Canada,Nunavut,1124826935
Moosonee,Moosonee,51.2806,-80.658,Canada,Ontario,1124592907
Dryden,Dryden,49.7833,-92.8333,Canada,Ontario,1124295097
Corner Brook,Corner Brook,48.95,-57.9333,Canada,Newfoundland and Labrador,1124244792
Kelowna,Kelowna,49.9,-119.4833,Canada,British Columbia,1124080626
